Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,88740,3449,60939,24352,1024,3.89,68.67,5.66,38928341,2280.0,77963,10777,13.82
Albania,132449,2453,129826,170,12,1.85,98.02,1.89,2877800,46024.0,132374,75,0.06
Algeria,133070,3565,92620,36885,343,2.68,69.6,3.85,43851043,3035.0,130681,2389,1.83
Andorra,13813,127,13591,95,0,0.92,98.39,0.93,77265,178774.0,13758,55,0.4
Angola,36600,825,30207,5568,145,2.25,82.53,2.73,32866268,1114.0,35594,1006,2.83
Antigua and Barbuda,1263,42,1214,7,0,3.33,96.12,3.46,97928,12897.0,1263,0,0.0
Argentina,4111147,85075,3695288,330784,18057,2.07,89.88,2.3,45195777,90963.0,3939024,172123,4.37
Armenia,223643,4482,215118,4043,88,2.0,96.19,2.08,2963234,75473.0,223143,500,0.22
Australia,30248,910,23664,5674,14,3.01,78.23,3.85,50919400,594.0,30173,75,0.25
Austria,648387,10652,633538,4197,200,1.64,97.71,1.68,9006400,71992.0,646438,1949,0.3
Azerbaijan,335126,4953,328398,1775,61,1.48,97.99,1.51,10139175,33053.0,334647,479,0.14
Bahamas,12092,236,11081,775,0,1.95,91.64,2.13,393248,30749.0,11930,162,1.36
Bahrain,257852,1206,242678,13968,931,0.47,94.12,0.5,1701583,151537.0,249582,8270,3.31
Bangladesh,824486,13071,764024,47391,1637,1.59,92.67,1.71,164689383,5006.0,809314,15172,1.87
Barbados,4036,47,3971,18,3,1.16,98.39,1.18,287371,14045.0,4030,6,0.15
Belarus,404740,2969,397587,4184,895,0.73,98.23,0.75,9449321,42833.0,398909,5831,1.46
Belgium,1075765,25081,0,1050684,777,2.33,0.0,8.244232804232807,23021022,46730.0,1069874,5891,0.55
Belize,12938,325,12463,150,0,2.51,96.33,2.61,397621,32539.0,12861,77,0.6
Benin,8109,102,7979,28,0,1.26,98.4,1.28,12123198,669.0,8082,27,0.33
Bhutan,1808,1,1440,367,19,0.06,79.65,0.07,771612,2343.0,1682,126,7.49
Bolivia,405347,15485,319666,70196,5300,3.82,78.86,4.84,11673029,34725.0,385734,19613,5.08
Bosnia and Herzegovina,204597,9479,177122,17996,0,4.63,86.57,5.35,3280815,62362.0,204304,293,0.14
Botswana,59480,896,55617,2967,0,1.51,93.51,1.61,2351625,25293.0,56217,3263,5.8
Brazil,17374818,486272,15271120,1617426,78700,2.8,87.89,3.18,422706534,41104.0,16907425,467393,2.76
Brunei,248,3,239,6,0,1.21,96.37,1.26,437483,567.0,244,4,1.64
Bulgaria,420294,17898,389402,12994,81,4.26,92.65,4.6,6948445,60487.0,419426,868,0.21
